POINTID;Longitud;Latitud;h_Elip;H_Orto;Huso;X-UTM;Y-UTM
ACNS;-6.352109586;41.70004772;871.2593;814.8773;29;720327.9708;4619861.823
ACOR;-8.398935409;43.36438078;66.9174;12.4902;29;548701.3416;4801455.361
ALAC;-0.481232513;38.33891766;60.3559;10.4755;30;720135.9407;4246422.301
ALBA;-1.856403942;38.97791513;751.7361;699.6852;30;599058.1528;4314947.687
ALBO;-3.034236865;35.93983997;62.2631;14.381;30;496911.9708;3977276.402
ALC1;-0.145305607;41.05789408;397.6599;347.7225;30;739887.7682;4549110.84
ALME;-2.459449667;36.85253129;127.5174;77.73;30;548188.9688;4078649.727
ALOR;4.140150238;39.93435716;189.5568;141.3921;31;597417.1551;4421093.776
ALMO;-4.180254371;38.70550989;743.3841;689.9668;30;397375.8139;4284758.535
ARDU;-3.742599548;41.66581451;844.4766;791.2603;30;438178.7353;4612939.415
BCL1;2.165676221;41.34177384;56.1212;7.1237;31;430195.4804;4577034.057
BCLN;2.004162411;41.40541592;84.8252;35.4668;31;416763.2834;4584242.103
BLGU;-0.800685217;42.9582423;1649.2571;1597.0954;30;679387.0808;4758524.517
BUIT;-3.636862773;41.00060677;1032.6876;979.3002;30;446439.2011;4539019.717
CACE;-6.341785018;39.47886068;436.5271;382.3415;29;728635.8036;4373291.872
CANT;-3.798066261;43.47197722;99.2865;49.4808;30;435450.9229;4813538.533
CARG;-0.973855118;37.59659738;57.3449;7.7254;30;678869.7558;4162988.199
CARV;-1.967681959;38.04588029;902.4513;851.1635;30;590579.4601;4211408.48
CBON;3.392271866;39.61369297;57.3674;8.6406;31;533672.1828;4384955.845
CEU1;-5.306393544;35.89196951;52.4751;10.498;30;291829.369;3974423.521
COBA;-4.721111096;37.9156045;202.0824;151.5246;30;348712.4087;4197847.777
CUEN;-2.139669589;40.07282656;998.0836;945.9204;30;573359.9476;4436194.886
EIVI;1.406870684;38.95119023;132.1655;82.8631;31;361949.6392;4312566.871
FRAG;0.324157672;41.50945853;181.8033;132.3032;31;276689.2713;4598771.559
FORM;1.428786862;38.70527742;99.628;50.8992;31;363379.5087;4285243.271
FRRL;-8.3381689;43.46143265;111.636;57.3988;29;553539.4012;4812270.888
GIRO;2.855129107;42.04158558;112.7179;63.2108;31;488009.9508;4654403.592
GUDI;-7.124978096;42.05905401;1074.6582;1017.5166;29;655144.086;4658033.857
HUEL;-6.920299209;37.19997874;81.8597;30.4751;29;684568.8666;4119082.774
IBIZ;1.448962221;38.91124531;59.8851;10.7068;31;365521.7848;4308070.914
IGNE;-3.70952312;40.44583584;766.9201;715.8069;30;439830.797;4477484.239
ISPS;-2.5536216;43.35434448;265.4869;216.6696;30;536173.816;4800262.108
JACA;-0.726527784;42.56733764;738.9401;687.72;30;686606.0893;4715275.282
LEON;-5.650975505;42.58840538;970.2537;914.6946;30;282480.0463;4718516.218
LUGO;-7.544685519;42.99307954;476.6113;420.5292;29;618634.5122;4761073.813
MAL1;2.637454673;39.56017719;53.8283;4.797;31;468855.5679;4379005.801
MALA;-4.393532844;36.72611215;119.848;71.7648;30;375562.0976;4065394.829
MALL;2.62455087;39.55262368;62.063;13.0316;31;467743.5663;4378172.043
MELI;-2.951655782;35.2811854;88.851;39.7939;30;504396.3457;3904227.252
MENC;3.831231199;40.0006145;66.6693;18.2681;31;570953.4471;4428156.273
MOFR;-5.46239345;37.12072289;276.3709;229.646;30;281234.3213;4111102.686
MOLI;-1.879291414;40.84123698;1119.4227;1066.6556;30;594479.992;4521737.42
MOTA;-2.870007889;39.50320892;779.7866;727.7625;30;511176.0813;4372628.7
